id,producto,precio,descripcion
1,Chilaquiles,$30.00,"Comida, Tradicional, Mexicano, Crujiente, Desayuno."
2,Cigarro Electrico,$60.00,Electronico.
3,Pantalon,$120.00,"Moderno, Comodo, Versátil."
4,Tiramisu,$30.00,"Exquisito, Dulce, Porción Perfecta."
5,Galleta,$20.00,"Deliciosa, Crujiente, Satisfactoria, Postre, Dulce."
6,Hoja De Color,$2.00,"Brillante, Creativa"
7,Blusa,$150.00,"Elegante, Cómoda, Versátil."
8,Bisuteria,$100.00,"Elegante, Accesorios, Adornos."
9,Orden De Tacos De Canasta,$20.00,"Sabrosos, Sabores Variados, Grasosos, Baratos."
10,Máscara De Payaso,$250.00,"Halloween, Disfraz."
11,Caja De Colores,$80.00,"Vibrante, Creativa, Surtida, Escolar."
12,Torta,$30.00,"Comida, Desayuno, Barato."
13,Playera,$100.00,"Ropa Casual, Comodo."
14,Caja De Donas,$120.00,"Chatarra, Desayuno, Postre, Dulce."
15,Marcatextos,$10.00,"Vibrantes, Resaltantes, Útiles, Escolar."
16,Botana Preparada,$15.00,"Sabrosa, Lista Para Disfrutar, Variada, Chatarra."
17,Taza,$50.00,"Resistente, Versátil, Diseño Único."
18,Peluche,$90.00,"Suave, Adorable, Abrazable."
19,Protector Solar,$70.00,"Efectivo, Imprescindible, Cuidado Diario."
20,Tenis,$800.00,"Deportivo, Comodo, Estilo Juvenil."
21,Rebanada De Pastel,$30.00,"Deliciosa, Tentadora, Porción Perfecta."
22,Camisa,$200.00,"Elegante, Formal."
23,Pizza,$20.00,"Deliciosa, Comida, Barata, Chatarra."
24,Balon De Futbol,$100.00,"Deportivo, Futbol."
25,Coca-Cola,$18.00,"Bebida, Chatarra, Dulce, Comida, Lata"
26,Café,$20.00,"Bebida, Desayuno, Amargo."
27,Barra De Chocolate,$24.00,"Amargo, Chatarra, Dulce."
28,Balon De Basquetbol,$120.00,"Deportivo, Basquetbol."
29,Playera Deportiva,$150.00,"Deportivo, Comodo."
30,Sabritas,$20.00,"Comida, Chatarra, Barato."
31,Audifonos,$45.00,"Musica, Dispositivo Electronico."
32,Agua Natural,$8.00,"Bebida, Saludable."
33,Linterna Led,$50.00,"Portátil, Iluminación, Duradera"
34,Paquete De Calcetines,$80.00,"Cómodos, Económicos, Variedad De Colores"
35,Caja De Herramientas,$400.00,"Práctica, Organizada, Herramientas"
36,Set De Marcadores,$50.00,"Coloridos, Para Resaltar, Variados"
37,Abridor De Latas,$40.00,"Práctico, Duradero, Herramienta De Cocina"
38,Reloj De Pulsera,$225.00,"Elegante, Funcional"
39,Kit De Costura,$190.00,"Práctico, Para Reparaciones"
40,Bolígrafos Gel,$40.00,"Suaves, Tinta De Secado Rápido"
41,Almohada De Viaje,$110.00,"Cómoda, Compacta"
42,Set De Platos Desechables,$50.00,"Práctico, Desechable"
43,Lápiz Mecánico,$35.00,"Preciso, Recargable"
44,Gorro De Lana,$90.00,"Abrigado, Cómodo"
45,Estuche De Maquillaje,$140.00,"Organizado, Compacto"
46,Juego De Toallas De Baño,$95.00,"Suaves, Absorbentes"
47,Pegamento Multiusos,$28.00,"Versátil, Fuerte, Manualidades"
48,Caja De Condimentos Variados,$80.00,"Cocina, Sabores"
49,Bálsamo Labial,$35.00,"Hidratante, Cuidado Personal"
50,Set De Cuencos Para Mezclar,$40.00,"Práctica, Cocina"
51,Kit De Manicura,$190.00,"Cuidado Personal, Uñas, Práctico"
52,Termo De Acero Inoxidable,$150.00,"Práctico. Duradero, Bebidas"
53,Kit De Costura De Emergencia,$50.00,"Compacto, Para Reparaciones Rápidas, Práctico"
54,Aceite Esencial De Lavanda,$100.00,"Relajante, Aromático, Para Difusores"
55,Set De Bloques De Construcción,$200.00,"Educativo, Creativo, Para Niños."
56,Juego De Tazones Para Ensalada,$240.00,"Modernos, Cocina, Trastes"
57,Alicate Multiusos,$100.00,"Versátil, Herramientas"
58,Set De Imanes Para Refrigerador,$50.00,"Decorativos, Prácticos"
59,Papel De Regalo,$10.00,"Colorido, Para Envolver Regalos"
60,Caja De Juegos De Mesa,$300.00,"Divertido, Entretenido, Para Reuniones"
61,Abrebotellas,$40.00,"Práctico, Herramienta, Cocina"
62,Pelota Antiestrés,$30.00,"Alivia El Estrés, Divertida, Para Apretar"
63,Kit De Limpieza Para Pantalla,$90.00,"Efectivo, Para Dispositivos Electrónicos"
64,Bolsa De Almendras Tostadas,$35.00,"Saludable, Energizante, Snack"
65,Set De Velas Aromáticas,$40.00,"Relajantes, Aromáticas, Para Crear Ambiente."
66,Caja De Pañuelos Faciales,$50.00,"Suaves, Desechables, Cuidado Personal"
67,Cinta Adhesiva Transparente,$30.00,"Práctica, Para Manualidades Y Uso General."
68,Juego De Vasos De Vidrio,$120.00,"Elegantes, Versátiles, Para Bebidas"
69,Taza Térmica,$90.00,"Mantiene La Temperatura, Para Bebidas Calientes."
70,Lápiz Corrector,$20.00,"Escritura, Precición"
71,Cafe,$15.00,"Envase, Sabor, Cafe, Tostado, Fresco, Molido, Preparacion, Olor, Color, Textura, Aroma, Grano, Barato"
72,Concha,$14.00,"Suave, Dulce, Pan, Forma, Textura, Color, Barato"
73,Cuernito,$20.00,"Dulce, Fresco, Pan, Lonche, Comida, Barato"
74,Cuernito Con Queso,$23.00,"Dulce, Fresco, Pan, Lonche, Comida, Caro, Queso, Sabroso, Horneado, Delicioso"
75,Cuernito Con Jamon,$28.00,"Dulce, Fresco, Pan, Lonche, Comida, Barato, Crudo, Horneado, Saludable"
76,Sandwich De Jamon,$30.00,"Delicioso, Pan, Lonche, Desayuno, Comida, Barato, Horneado, Bueno, Sabroso"
77,Sandwich De Queso,$35.00,"Dulce, Pan, Lonche, Comida, Barato, Horneado, Saludable, Balanceado, Grasoso, Fresco, Casero"
78,Sandwich De Carne,$49.00,"Fresco, Pan, Comida, Caro, Balanceado, Grasoso, Llenador, Delicioso, Carne"
79,Sandwich Vegano,$49.00,"Fresco, Pan, Comida, Caro, Balanceado, Apetitoso, Saludable, Casero"
80,Sandwich De Pollo,$39.00,"Pan, Comida, Barato, Grasoso, Rancio, Saludable, Casero, Horneado, Delicioso, Pollo"
81,Quesadilla De Queso,$20.00,"Comida, Tortilla, Queso, Maiz, Fresco, Grasoso, Barato, Balanceado, Sabor"
82,Quesadilla De Pollo,$20.00,"Comida, Tortilla, Pollo, Maiz, Fresco, Barato, Sabor, Sabroso, Delicioso, Bueno"
83,Quesadilla De Carne,$20.00,"Comida, Tortilla, Carne, Maiz, Completo, Balanceado, Caro, Delicioso"
84,Quesadilla Dorada,$20.00,"Grasoso, Caro, Maiz, Tortilla, Queso, Llenador, Rancio, Malo, Comida, Lonche"
85,Quesadilla De Picadillo,$20.00,"Barato, Maiz, Tortilla, Queso, Delicioso, Balanceado, Lonche, Comida, Carne"
86,Quesadilla De Tinga,$20.00,"Barato, Maíz, Suave, Delicioso, Picoso, Llenador, Fresco, Calidad, Pollo"
87,Quesadilla De Verdura,$25.00,"Sano, Saludable, Caro, Vegetales, Llenador, Maiz, Tortilla, Suave, Comida, Delicioso"
88,Tamal De Dulce,$24.00,"Sabor, Dulce, Maiz, Desayuno, Comida, Llenador, Sabroso, Balanceado, Grasoso, Barato, Apetitoso"
89,Tamal De Pollo,$24.00,"Dulce, Sabor, Caro, Maiz, Comida, Desayuno, Llenador, Queso, Vegetales, Balanceado, Pollo"
90,Tamal De Mole,$24.00,"Grasoso, Picante, Pollo, Balanceado, Sabor, Calidad, Llenador, Comida, Maiz, Bueno"
91,Tamal De Rajas,$24.00,"Picante, Vegetales, Maiz, Rancio, Barato, Grasoso, Suave, Malo"
92,Tamal De Piña,$24.00,"Dulce, Delicioso, Barato, Sabor, Textura, Maiz, Suave, Llenador, Bueno, Desayuno"
93,Tamal De Dorado,$20.00,"Rancio, Grasoso, Malo, Maiz, Suave, Textura, Llenador, Comida"
94,Tamal Oaxaqueño,$28.00,"Picante, Suave, Maiz, Sabor, Delicioso, Desayuno, Comida, Llenador, Queso, Bueno, Grasoso"
95,Torta De Jamon,$22.00,"Balanceado, Bueno, Barato, Crudo, Pan, Bolillo, Delicioso, Comida, Textura, Horneado"
96,Torta De Pollo,$25.00,"Pollo, Delicioso, Barato, Textura, Comida, Horneado, Sabor, Bolillo"
97,Torta De Carne,$30.00,"Bolillo, Carne, Delicioso, Horneado, Caro, Comida, Textura, Llenador"
98,Torta De Quesillo,$20.00,"Queso, Bolillo, Delicioso, Barato, Horneado, Comida, Textura, Llenador, Bueno, Balanceado, Sabor, Grasoso"
99,Torta De Milanesa,$25.00,"Bolillo, Carne, Delicioso, Horneado, Sabor, Caro, Balanceado, Vegetales, Comida"
100,Torta De Pastor,$30.00,"Carne, Bolillo, Caro, Delicioso, Grasoso, Bueno, Horneado, Textura, Calidad, Llenador, Vegetales, Suave"
101,Torta De Tofu,$25.00,"Suave, Balanceado, Delicioso, Caro, Comida, Vegano, Pan, Bolillo, Horneado"
102,Tostada De Pollo,$15.00,"Crujiente, Delicioso, Barato, Pollo, Crema, Comida , Express, Saludable"
103,Tostada De Tinga,$15.00,"Crujiente, Delicioso, Barato, Pollo, Crema, Comida , Express, Saludable, Picante, Sabor, Sazon, Textura"
104,Tostada De Carne,$20.00,"Crujiente, Delicioso, Barato, Carne, Crema, Comida , Express, Balanceado, Sabor, Sazon"
105,Tostada De Picadillo,$15.00,"Crujiente, Delicioso, Barato, Carne, Crema, Comida , Express, Balanceado, Sabor, Textura, Llenador"
106,Tostada De Crema,$13.00,"Crujiente, Delicioso, Barato, Crema, Comida , Express, Grasoso, Balanceado, Bueno"
107,Tostada De Crema Con Queso,$10.00,"Grasoso, Crujiente, Delicioso, Crema, Comida, Express, Textura, Sabor, Llenador"
108,Tostada De Vegetales,$15.00,"Balanceado, Vegano, Delicioso, Saludable, Vegetales, Comida, Textura, Express"
109,Bolillo,$3.00,"Pan, Suave, Horneado, Textura, Sabor, Bueno, Dulce, Comida"
110,Telera,$4.00,"Pan, Suave, Textura, Sabor, Comida, Delicioso"
111,Pan De Muerto,$15.00,"Dulce, Azucarado, Grasoso, Textura, Sabor, Delicioso"
112,Pan De Muerto Con Chocolate,$20.00,"Dulce, Azucarado, Grasoso, Textura, Sabor, Delicioso, Chocolate, Express, Comida"
113,Pan De Elote,$25.00,"Dulce, Delicioso, Sabor, Textura, Horneado, Bueno, Pan, Vegetales"
114,Fruta Preparada,$16.00,"Dulce, Llenador, Delicioso, Fruta, Saludable, Comida, Desayuno, Aperitivo, Express"
115,Hamburguesa,$59.00,"Caro, Llenador, Grasoso, Delicioso, Suave, Sazon, Textura, Horneado, Pan, Carne, Vegetales"
116,Hot Dog,$18.00,"Carne, Barato, Express, Llenador, Bueno, Delicioso, Grasoso, Comida, Textura, Horneado"
117,Sopa Maruchan,$20.00,"Barato, Express, Aperitivo, Comida, Grasoso, Lonche"
118,Sopa Maruchan Preparada,$25.00,"Caro, Aperitivo, Llenador, Grasoso, Balanceado, Lonche, Vegetales, Carne, Textura"
119,Taco De Milanesa,$12.00,"Maiz, Tortilla, Express, Balanceado, Delicioso, Comida, Llenador, Carne, Bueno"
120,Taco De Canasta,$5.00,"Grasoso, Barato, Express, Carne, Comida, Delicioso, Textura, Maiz, Tortilla, Calidad"
121,Taco De Guisado,$12.00,"Maiz, Tortilla, Express, Balanceado, Delicioso, Comida, Llenador, Calidad, Carne, Vegetales"
122,Taco De Carne Enchilada,$15.00,"Maiz, Tortilla, Picoso, Delicioso, Textura, Carne, Comida, Llenador, Calidad, Express, Balanceado"
123,Taco Vegano,$15.00,"Maiz, Tortilla, Saludable, Delicioso, Vegano, Comida, Calidad, Fresco, Express"
124,Taco De Suadero,$15.00,"Maiz, Tortilla, Carne, Delicioso, Express, Calidad, Balanceado, Grasoso, Textura"
125,Taco De Bistec,$15.00,"Maiz, Tortilla, Comida, Carne, Delicioso, Express, Calidad, Grasoso, Llenador"
126,Taco Campechano,$15.00,"Maiz, Tortilla, Comida, Carne, Delicioso, Express, Calidad, Grasoso, Llenador, Textura, Suavidad, Fresco"
127,Taco De Pollo,$15.00,"Maiz, Tortilla, Comida, Pollo, Bueno, Express, Llenador, Textura, Suavidad, Fresco"
128,Taco Dorado,$15.00,"Grasoso, Maiz, Tortilla, Comida, Pollo, Carne, Express, Llenador, Crujiente, Barato, Textura"
129,Taco De Chicharron,$15.00,"Suave, Barato, Delicioso, Maiz, Tortilla, Grasoso, Sazon, Textura, Calidad, Carne"
130,Agua De Frutas,$23.00,"Fresco, Natural, Fruta, Bebida, Agua, Refrescante, Buena, Barato, Calidad"
131,Agua Simple,$20.00,"Fresco, Natural, Bebida, Agua, Refrescante, Buena, Barato, Calidad,"
132,Agua Embotellada,$15.00,"Fresco, Natural, Fruta, Bebida, Agua, Refrescante, Buena, Caro, Envase"
133,Agua De Fresa,$23.00,"Fresco, Natural, Fruta, Bebida, Agua, Refrescante, Buena, Barato, Calidad, Fresa"
134,Agua De Sandia,$23.00,"Fresco, Natural, Fruta, Bebida, Agua, Refrescante, Buena, Barato, Calidad, Sandia"
135,Agua De Mango,$23.00,"Fresco, Natural, Fruta, Bebida, Agua, Refrescante, Buena, Barato, Calidad, Mango"
136,Agua De Melon,$23.00,"Fresco, Natural, Fruta, Bebida, Agua, Refrescante, Buena, Barato, Calidad, Melon"
137,Agua De Naranja,$23.00,"Fresco, Natural, Fruta, Bebida, Agua, Refrescante, Buena, Barato, Calidad, Naranja"
138,Jugo De Naranja,$15.00,"Fresco, Naranja, Jugo, Delicioso, Refrescante, Barato, Natural, Calidad"
139,Jugo De Manzana,$15.00,"Fresco, Manzana, Jugo, Delicioso, Refrescante, Barato, Natural, Calidad, Textura, Express"
140,Jugo De Guayaba,$15.00,"Fresco, Guayaba, Jugo, Delicioso, Refrescante, Barato, Natural, Calidad, Saludable"
141,Agua De Crema De Fresa,$25.00,"Fresco, Fresa, Bebida, Delicioso, Refrescante, Barato, Natural, Calidad, Cremoso"
142,Agua De Crema De Mango,$25.00,"Fresco, Mango, Bebida, Delicioso, Refrescante, Barato, Natural, Calidad, Cremoso, Textura"
143,Agua De Crema De Coco,$25.00,"Fresco, Coco, Bebida, Delicioso, Refrescante, Caro, Natural, Calidad, Cremoso, Express"
144,Sandia Picada,$18.00,"Natural, Saludable, Fruta, Picada, Sandia, Express, Delicioso"
145,Melon Picado,$18.00,"Natural, Saludable, Fruta, Picada, Melon, Express, Delicioso, Fresco"
146,Jicama Picada,$18.00,"Natural, Saludable, Fruta, Picada, Jicama, Express, Delicioso"
147,Zanahoria Rallada,$18.00,"Natural, Saludable, Vegetales, Picada, Zanahoria, Express, Fresco, Vegetariano, Textura"
148,Refresco Preparado,$25.00,"Fresco, Bebida, Delicioso, Frío, Refrescante, Dulce, Sabores, Tajín, Chile, Hielo, Sangría, Tamarindo, Chamoy, Refresco"
149,Sushi,$60.00,"Oriental, Delicioso, Pescado, Snack, Express, Comida, Sabor, Lonche, Calidad, Frescura, Cantidad, Sushi"
150,Malteada,$35.00,"Delicioso, Fresco, Frío, Leche, Sabor, Bebida, Snack, Dulce, Helado, Fresa, Chocolate, Vainilla, Oreo, Hielo, Malteada"
151,Helado,$20.00,"Frío, Refrescante, Dulce, Sabroso, Hielo, Fresa, Chocolate, Vainilla, Menta, Cono, Barato, Helado"
152,Limonada,$20.00,"Fresco, Limonada, Limón, Hielo, Azúcar, Bebida, Refrescante, Saludable, Agua, Limonada"
153,Naranjada,$20.00,"Fresco, Naranada, Naranja, Hielo, Azúcar, Bebida, Refrescante, Saludable, Agua, Naranjada"
154,Ponche,$25.00,"Delicioso, Navidad, Barato, Caliente, Fruta, Azúcar, Caña, Tamarindo, Bebida, Calidad, Ponche"
155,Smoothie,$30.00,"Frío, Dulce, Fruta, Bebida, Refrescante, Fresa, Mango, Chocolate, Mora, Zarzamora, Smoothie"
156,Pines,$50.00,"Forma, Color, Figura, Personaje, Película, Cantidad, Calidad, Pines"
157,Tintas,$190.00,"Color, Brillo, Maquillaje, Tinta, Labial, Rojo, Textura, Cosméticos, Multiusos, Mejillas, Duración, Tintas"
158,Maquillaje,$90.00,"Tonalidad, Color, Brillo, Textura, Cosméticos, Duración, Líquido, Polvo, Compacto, Mejillas, Cobertura, Maquillaje"
159,Labial,$90.00,"Cosmético, Pigmento, Color, Maquillaje, Duración, Tonalidad, Colores, Brillo, Mate, Marca, Labial"
160,Rimel,$50.00,"Marca, Cosmético, Maquillaje, Duración, Textura, Aplicador, Ingredientes, Acabado, Rimel"
161,Vestido,$100.00,"Color, Talla, Forma, Textura, Tela, Precio, Largo, Corto, Diseño, Vestido"
162,Falda,$110.00,"Color, Talla, Forma, Textura, Tela, Precio, Largo, Corto, Falda"
163,Medias,$140.00,"Color, Talla, Forma, Textura, Tela, Precio, Largo, Medias"
164,Organizadores,$50.00,"Papelería, Color, Económico, Cantidad, Capacidad, Organizador"
165,Libro,$90.00,"Temática, Páginas, Novela, Trama, Género, Hojas, Nuevo, Libro"
166,Termo,$140.00,"Capacidad, Color, Té, Café, Temperatura, Caliente, Frío, Material, Diseño, Termo"
167,Pulsera,$30.00,"Color, Material, Económico, Bisutería, Plástico, Hilo, Goma, Accesorio, Joyas, Estilo, Adorno, Piedras, Pulsera"
168,Collar,$30.00,"Color, Material, Económico, Bisutería, Plástico, Hilo, Goma, Accesorio, Joyas, Estilo, Adorno, Piedras, Collar"
169,Agenda,$80.00,"Papelería, Hojas, Tamaño, Textura, Tipo, Agenda"
170,Amigurumis,$200.00,"Diseño, Material, Personaje, Color, Textura, Amigurumi"
171,Pegamento Pestañas,$30.00,"Ingredientes, Color, Económico, Cosméticos, Maquillaje, Pestañas, Cara, Ojos, Pegamento"
172,Espejo,$35.00,"Accesorios, Materiales, Cosméticos, Tamaño, Espejo"
173,Lápiz De Cejas,$25.00,"Ingredientes, Color, Económico, Cosméticos, Maquillaje, Pestañas, Cara, Ojos, Cejas, Lápiz"
174,Paleta Sombras,$90.00,"Ingredientes, Color, Económico, Cosméticos, Maquillaje, Pestañas, Cara, Ojos, Brochas, Paleta"
175,Fijador,$50.00,"Ingredientes, Color, Económico, Cosméticos, Maquillaje, Pestañas, Cara, Ojos, Fijador"
176,Perfume Bolsillo,$60.00,"Olor, Color, Marca, Diseño, Económico, Fragancia, Notas, Olfato, Ingredientes, Presentación, Concentración, Duración, Perfume"
177,Polvo Hadas,$60.00,"Ingredientes, Color, Económico, Cosméticos, Maquillaje, Pestañas, Cara, Ojos, Brillo, Presentación, Marca, Estilo, Polvo"
178,Brochas,$80.00,"Cantidad, Tamaño, Colores, Brillo, Estuche, Cosmético, Suavidad, Funcionalidad, Brocha"
179,Rubor,$45.00,"Color, Rosa, Textura, Brillo, Polvo, Pigmentación, Rubor"
180,Esponjas,$50.00,"Material, Esponjoso, Cantidad, Absorbentes, Suaves, Moldeables, Pequeños, Esponjas"
181,Delineador,$30.00,"Negro, Café, Oscuro, Claro, Color, Pincel, Punta, Líquido, Delineador"
182,Calcetas,$25.00,"Comodidad, Colores, Diseño, Textura, Precio, Moda, Estilo, Talla, Material, Calcetas"
183,Cepillo,$50.00,"Diseño, Material, Cerdas, Cepillo"
184,Chaleco,$90.00,"Abrigador, Caliente, Suavidad, Chaleco"
185,Folder,$35.00,"Papelería, Hojas, Capacidad, Folder"
186,Borrador,$30.00,"Papelería, Borrador, Práctico, Borrador"
187,Funko Llavero,$90.00,"Personaje, Llavero, Diseño, Color, Funko"
188,Top,$100.00,"Color, Material, Blusa, Largo, Corto, Económico, Top"
189,Series Navideñas,$110.00,"Focos, Series, Luces, Navidad, Colores, Duración"
190,Gorros,$90.00,"Textura, Material, Frío, Color, Gorro, Estambre, Tela"
191,Aretes,$35.00,"Bisutería, Orejas, Diseño, Estilo, Moda, Aretes"
192,Pantunflas,$160.00,"Comodidad, Peluche, Estilo, Antideslizantes, Térmicos, Textura, Suaves, Acolchonadas, Talla, Pantunflas"
193,Bálsamo,$45.00,"Hidratación, Cosmético, Bálsamo, Ingredientes, Aloe, Manzanilla, Resequedad, Suavidad, Natural, Protección"
194,Tote Bag,$120.00,"Bolsa, Tela, Diseño, Tote-Bag, Práctica, Reutilizable, Resistencia, Capacidad"
195,Sombra Líquida,$45.00,"Maquillaje, Ingredientes, Rostro, Color, Brillo, Calidad, Marca, Sombra"
196,Gomitas Enchiladas,$20.00,"Chile, Chamoy, Panditas, Gusanitos, Tajín, Tamarindo, Gomitas"
197,Botella De Agua,$85.00,"Tuper, Botella, Práctico, Color, Capacidad, Tamaño, Botella, Agua"
198,Manzana Cubiertas De Tamarindo,$20.00,"Manzana, Snack, Agridulce, Tamarindo, Tajín, Chile, Cubierta"
199,Vapes,$110.00,"Cigarro, Electrónico, Vape, Sabor, Vaporizador, Recargable, Luz, Led, Diseño"
200,Diadema,$30.00,"Accesorio, Belleza, Cabello, Diadema"
201,Pasador De Cabello,$30.00,"Accesorio, Color, Decoración, Material, Diseño, Flores, Estrellas, Cabello, Pasador"
202,Ligas De Cabello,$30.00,"Elásticos, Cabello, Ligas, Grosor, Perlas, Peinados, Estilo"
203,Scrunchies,$25.00,"Elásticos, Cabello, Scrunchie, Grosor, Perlas, Peinados, Estilo"
204,Moño,$25.00,"Tela, Terciopelo, Plástico, Cabello, Moño, Color, Pequeños, Cómodos, Resistentes"
205,Pizarra Organizadora,$100.00,"Pizarra, Papelería, Organización, Decoración, Planificación, Horario"
206,Post It,$25.00,"Tamaño, Post It, Papelería, Notes"
207,Resaltador,$15.00,"Color, Papelería, Resaltador, Escritura, Resaltar"
208,Regla,$10.00,"Centímetros, Color, Diseño, Cantidad, Brillantes"
209,Portalapiz,$50.00,"Capacidad, Color, Material, Lapiz"
210,Engrapadora,$35.00,"Cantidad, Grapas, Material, Papelería, Engrapadora"
211,Perforadora,$35.00,"Papelería, Color, Económico, Cantidad, Capacidad, Perforadora"
212,Caja De Colores,$70.00,"Papelería, Hojas, Tamaño, Lápices, Marca, Colores"
213,Hojas De Color,$100.00,"Colores, Paquete, Carta, Papelería"
214,Hojas Blancas,$80.00,"Paquete, Hojas, Carta, Oficio, Carpeta"
215,Plumones,$150.00,"Color, Papelería, Pincel, Plumón, Herramientas, Escritura, Punta, Fina, Mediana, Gruesa, Aceite, Agua, Plástico, Tela"
216,Cuaderno,$110.00,"Papelería, Hojas, Tamaño, Diseño, Tipo, Cuaderno, Profesional, Escritura, Nota, Dibujo"
217,Rotulador,$30.00,"Color, Papelería, Punta, Dibujo, Tinta, Secado, Rotulador, Tono, Espiral, Cosido, Pegado"
218,Acuarelas,$40.00,"Color, Papelería, Pincel, Pigmento, Gama, Transparencia, Secado, Mezclabilidad, Artístico, Tono, Matices, Acuarela"
219,Funda Para Iphone,$131.00,"Iphone, Celular, Proteccion, Apple"
220,Airpods,"$2,500.00","Iphone, Auricular, Musica, Bluetooth, Apple"
221,Audifonos Skullcandy,$550.00,"Musica, Auricular, Celular, Cable, Skullcandy"
222,Bocina Skullcandy,$940.00,"Musica, Skullcandy, Altavoz, Dispositivo Electronico"
223,Pastel De Queso,$330.00,"Dulce, Postre, Pan, Comida, Suave, Queso, Delicioso, Llenador, Leche"
224,Pastel De Zarzamora,$350.00,"Dulce, Postre, Pan, Comida, Suave, Zarzamora, Delicioso, Llenador, Fruta"
225,Pay De Limon,$25.00,"Dulce, Postre, Pan, Comida, Suave, Limon, Delicioso, Llenador, Fruta, Acido, Pequeño, Barato, Galleta"
226,Pay De Manzana,$25.00,"Dulce, Postre, Pan, Comida, Suave, Manzana, Delicioso, Llenador, Fruta, Acido, Pequeño, Barato, Galleta"
